KO	V102	V103	V104	V011	V112	V113	V118	V119	V012	V125	V128	V129	V013	V132	V014	V141	V149	V015	V153	V155	V156	V159	V016	V161	V175	V002	V208	V021	V215	V216	V218	V219	V022	V222	V227	V023	V230	V024	V243	V254	V260	V267	V277	V028	V280	V283	V290	V297	V311	V312	V313	V320	V343	V036	V037	V373	V038	V393	V043	V049	V005	V050	V051	V054	V055	V057	V060	V061	V063	V065	V074	V075	V008	V080	V082	V085	V087	V092	V094	V097	V003	pathway_1	pathway_2	pathway_3
K00670	3078.9985714285717	33694.78785714285	20060.964285714286	25124.747857142866	8399.355	30932.68071428572	24558.732857142848	26700.172142857136	8840.265	19277.102142857144	22525.407857142854	1166	18664.700000000004	24955.18071428572	13993.600000000002	4226.276428571428	19032.571428571428	32036.516428571427	10278.716428571428	16785.919285714288	2158.038571428571	20936.985000000004	12926	10271.341428571426	22332.910714285714	25014.871428571427	16161.12	13410.987857142858	32030.80500000001	1460.5314285714287	17330.678571428572	324.7142857142857	29434.27071428572	35748.99571428572	14622.57142857143	34939.64071428572	18441.785714285714	25616.816428571434	365.3571428571428	39783.16357142857	22355.15142857143	17635.821428571428	18184.285714285714	10833.651428571431	16193.357857142855	13922.035714285714	15270.57142857143	28429.33785714285	13784.579285714284	23746.25357142857	4337.479285714285	18377.63714285714	30372.105714285713	37680.13928571429	26512.64285714286	20282.969285714287	27488.964999999997	18037.359285714283	19568.403571428575	17469.14285714286	23895.90214285714	24489.859285714283	33029.32357142856	22990.917142857143	25269.515000000003	734.2028571428572	35936.24857142858	239.8571428571429	9184.842142857144	24945.25428571428	8457.607142857143	821.2857142857143	25771.312142857147	14252.430714285712	29587.63357142857	20781.21857142857	19608.285714285714	6587.287857142857	27713.454285714284	2080.278571428572	73814.18071428573	Brite Hierarchies	Genetic Information Processing	Membrane Trafficking
K00710	2793.188888888889	31092.427777777775	18192.26777777778	26723.165000000005	9146.665	30583.632222222222	24116.144444444435	26544.754444444443	11031.808333333332	17755.978333333333	20575.559444444443	0	0	23501.562777777777	12669.638888888889	3879.304444444444	21728.083333333332	30861.155555555557	9427.091666666667	15211.637222222223	2400.381666666666	0	0	14296.487222222222	20264.597222222223	22711.27944444444	14752.768333333332	0	29666.088888888895	1538.033888888889	14748.408333333333	0	31596.302777777782	35218.01500000001	14690.333333333334	36029.49833333333	0	24215.67722222222	0	38641.81277777777	17546.313888888886	19280.027777777777	16213.166666666666	10738.830555555556	16120.947777777776	12814.388888888889	13571.611111111111	28942.975555555553	14069.561111111112	0	3928.159444444444	16727.33388888889	31103.643888888888	35811.70166666667	0	19220.91833333333	24677.63222222222	16848.112777777777	17987.70277777778	17545.222222222223	21584.155	22412.631666666668	31532.501666666667	21693.619999999995	24166.246666666662	600.3944444444445	34514.510555555564	0	9107.91222222222	29944.411111111105	0	0	24918.18888888889	14114.954999999996	26753.248333333337	30352.176666666663	17969.61111111111	6277.538888888888	27141.041111111103	1891.0194444444448	70330.11277777777	Metabolism	Glycan Biosynthesis And Metabolism	Mucin Type O-Glycan Biosynthesis
K00730	3259.3018181818184	32625.213636363635	21077.26272727273	25080.164545454547	9204.800909090907	31308.511818181814	30071.244545454545	25861.958181818187	8385.413636363635	18866.846363636363	23950.94181818182	1010.3636363636364	19795.898181818186	25397.860909090905	14821.972727272729	5721.4972727272725	17384.31818181818	41254.81909090909	10755.589090909092	17771.29272727273	1618.4872727272727	19035.61909090909	13720.727272727272	17847.528181818183	23685.81818181818	26550.91181818182	17155.43909090909	15139.212727272728	34337.524545454544	1576.8863636363635	17537.254545454543	345.3636363636364	26819.92272727273	51908.37454545454	19716.727272727272	36488.36090909091	19622	25825.7	373.45454545454544	50496.84636363637	20208.581818181818	19163.227272727272	18988.272727272728	11685.627272727274	15167.30090909091	15234.681818181818	15975.09090909091	26937.51909090909	14049.95	25183.83636363636	4606.835454545454	13465.975454545456	30758.35636363636	40472.35363636364	24135.727272727272	22648.836363636365	26594.585454545453	18969.002727272724	21381.301818181822	23040.81818181818	25243.718181818185	25768.94181818182	29863.79272727272	17776.94090909091	29801.03909090909	703.9690909090909	39024.07454545455	354	9825.493636363635	18382.77727272727	8951.454545454546	880.9090909090909	29523.46090909091	15283.987272727272	31176.644545454543	22476.253636363635	18825.454545454544	9429.062727272729	28634.80818181818	2206.4599999999996	90431.1390909091	Metabolism	Glycan Biosynthesis And Metabolism	N-Glycan Biosynthesis
K00740	607.4366666666666	8625.5575	4259.7	9327.610833333334	2397.1108333333336	7393.8625	12478.656666666668	8568.335	3847.584166666666	9861.8	4402.336666666667	354.5833333333333	3633.2983333333336	8042.334166666667	2757.1	877.7049999999999	7541.541666666667	4800.828333333334	2108.088333333333	3298.2000000000003	815.1125000000001	6973.179166666666	2524.5	7980.097500000001	4345.6875	4869.5975	3164.6541666666667	2588.25	11600.310833333337	732.0158333333334	4285.2125000000005	62.25	11562.970833333336	5235.43	9281.166666666666	5627.881666666667	3563.1666666666665	8232.824999999999	93.08333333333331	5817.554166666668	7481.498333333334	9774.916666666666	4334.25	2100.1583333333333	6986.44	3054.5416666666665	3292.0833333333335	5462.196666666667	4729.624166666667	4619.098333333333	853.5291666666667	3922.839166666666	11680.4325	14369.030833333332	8818.666666666666	5273.115833333333	8012.579999999999	3776.055833333334	4736.124166666667	2606.4166666666665	7261.409166666667	5145.361666666667	10690.0125	12232.215833333335	4540.8875	212.57666666666668	5744.2283333333335	37	1718.0566666666666	12959.6675	1662.2916666666667	174.375	10322.544166666668	3004.5833333333335	6089.820833333334	7676.597500000001	6920.333333333333	1145.305833333333	13922.43	409.5683333333333	12243.701666666668	Unclassified	Unclassified	Unclassified
K00750	955.55625	19095.50125	6276.535	15198.87375	5598.748750000001	18062.78125	14397.50375	17449.77375	5632.126249999999	10891.61375	7921.42	213.375	5448.665	13490.680000000002	4106.8375	2741.2662499999997	11540.375	19309.39375	3753.9875	4943.74875	1083.085	10480.6025	3812.75	7451.4675	6517.40625	7403.2725	4886.8975	5212.3125	17752.42375	1015.73375	3264.6375	101.375	19665.7275	23683.03875	9651.375	23316.94625	5629.375	12516.427499999998	102	26094.415	588.02125	11431	4185.5	5969.2275	10285.72625	5097.0625	3886.875	13869.33625	7721.540000000001	6928.711249999999	1296.96	6027.8325	16666.63375	23184.60875	50.375	9473.60875	14824.351249999998	5900.21	9433.74375	11484.75	3451.37125	7620.33375	19825.481249999997	16972.91	12223.20625	232.34500000000003	19914.86875	160.25	5707.43875	16648.0225	2491.8125	244.9375	14915.86	9351.065	9765.33	14052.19875	4301.9375	3962.54375	17698.27375	614.0175	35278.42875	Metabolism	Carbohydrate Metabolism	Starch And Sucrose Metabolism
K00770	2404.9706666666666	25665.689999999995	15668.188666666669	21656.821333333337	6658.588000000001	25754.528	27029.35933333333	21066.16866666667	6952.926	18071.583333333332	17507.604666666663	792.9333333333333	14519.720666666666	21898.267333333333	10889.093333333332	3834.224	13324.7	25687.429999999997	8065.182	13073.002666666667	2018.0026666666663	13967.864	10071.933333333332	10533.444666666668	17373.516666666666	19475.846	12588.389999999998	10886.411333333332	28221.56800000001	1487.7146666666667	12716.47	253.26666666666668	23863.11	32176.186	18127.933333333334	27365.604000000003	14375.933333333332	22564.66533333333	288.06666666666666	33991.219333333334	14970.612666666664	17316.5	14061.4	8645.321333333333	12852.796666666669	11204.933333333332	11633.533333333333	21521.235999999994	11193.242	18470.748666666663	3382.8693333333335	11982.913333333334	23287.876666666663	33273.25866666666	17687.666666666668	16085.247333333333	20300.311333333335	13821.646	14956.018000000002	15012.8	18713.764	19169.57933333333	24780.001999999997	17992.488666666668	20022.25	593.9019999999999	28842.704000000005	216.93333333333337	7352.758	23487.39133333333	6591.533333333334	646.4666666666667	24846.452666666668	11328.512	23436.87866666667	17240.412	14362.133333333331	5864.068666666667	25224.27066666667	1624.5500000000002	59208.99600000001	Metabolism	Carbohydrate Metabolism	Amino Sugar And Nucleotide Sugar Metabolism
K00780	84.78999999999999	8429.936	674.972	11412.566	2409.766	9778.002	13943.502	11471.668	2788.132	12867.966	1690.604	48.2	18.016	9424.338	78.64	1794.416	3825.6	9986.43	816.194	81.332	872.168	13.132	67.8	9993.473999999998	9.1	118.53400000000002	141.77000000000004	1468.5	16045.748	760.702	193.35	6.4	11792.466	11830.832	10912.8	8987.716	269	9508.748	12.6	13933.332	387.86800000000005	11077.1	311.8	2972.516	8581.082	1402.1	137	2207.77	5092.166	8.368	59.26800000000001	3464.0800000000004	6459.034	23217.602	48.6	5121.976	5598.252	176.334	3615.04	4899.1	367.2600000000001	939.2	9852.332	16946.086000000003	5286.71	88.482	8564.890000000001	76.4	2716.072	10169.934	52.5	54.2	12403.688	4648.668	1508.0579999999998	3342.164	2162.7	1894.268	18167.606	6.098000000000001	12662.584	Metabolism	Glycan Biosynthesis And Metabolism	Mucin Type O-Glycan Biosynthesis
K00900	3529.1377777777775	27487.982777777775	22896.56944444444	19980.55388888889	7123.61888888889	25839.331111111107	23192.37444444445	20242.70722222222	7656.810555555556	13846.065000000002	24409.446666666667	1209.8333333333333	21766.94277777778	21723.49166666667	16267.28888888889	3388.746666666667	16403.694444444445	26070.727222222224	11140.91388888889	19538.53	1585.5855555555556	25570.377222222225	15044.888888888889	10441.707777777778	26048.194444444445	29072.14055555555	18689.74111111111	14231.416666666666	26577.440555555557	1272.097777777778	19763.172222222216	371.72222222222223	23952.127777777783	27843.977777777774	13805.444444444443	27042.19277777778	21232.833333333332	22321.588333333337	424.3333333333333	30978.627222222225	24455.49666666667	14812.277777777776	21550.277777777777	9549.748333333337	13735.04388888889	15011.222222222224	17495.555555555555	27668.345555555556	11727.755555555555	27700.836666666662	5025.594999999999	19618.507222222222	26395.420555555553	27753.86611111111	29434.38888888889	18938.178888888884	23322.851666666666	20930.16833333333	17178.235	13673.194444444443	31024.818333333333	27830.83555555555	27123.61277777778	17400.298888888887	23252.123888888887	782.6133333333332	32007.626111111113	186.11111111111111	7542.091111111112	19234.17944444444	9841.111111111111	932.2777777777778	23211.834444444445	11255.047777777778	33398.060000000005	21102.54888888889	21020.88888888889	5475.927777777778	20879.883333333335	2425.434444444444	68757.16833333332	Metabolism	Carbohydrate Metabolism	Fructose And Mannose Metabolism
K00909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8	0	0	0	0	0	0	0	0.067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0	0	0	Cellular Processes	Transport And Catabolism	Endocytosis
K00910	577.5744	5784.9604	3850.7332	4507.186000000001	1359.656	5359.8288	6535.988399999999	5014.501399999999	1871.9708	3836.8064	4085.0624	0	3489.9426000000003	4835.7954	2631.8860000000004	708.9797999999998	4034.16	4014.2692	1922.6718000000003	3152.3274	389.9442	5861.8158	2420.6	3700.382	4170.145	4663.0974	3009.7076	2369.0234	5805.338400000001	399.5988	3614.587	59.76	5544.5226	4299.7786	4614.32	5806.7726	3407.78	4527.263	76.8	5146.8823999999995	5378.2390000000005	4252.42	3775.64	1775.1526	4707.796600000001	2539.74	2952.46	5913.437800000001	2558.1256000000003	4433.6648	814.5942000000001	4813.277999999999	6569.3224	7124.1288	6364.08	3837.903	5597.693799999999	3531.3073999999997	3312.3994	2394.66	5151.483	4622.8138	6749.904399999999	9052.9922	3850.9046	174.3996	5647.7444	29	1532.2446	4375.2744	1588.93	160.54	5717.625400000001	2504.9410000000003	5697.296799999999	3704.0732	4278.24	851.1139999999999	5718.5674	393.4234	10812.6874	Environmental Information Processing	Signal Transduction	Hedgehog Signaling Pathway
K00920	71.386875	7028.541875	532.69125	6185.176875	2029.833125	7168.403125	6031.81625	7637.2406249999995	2201.116875	3482.2981250000003	1524.753125	0	16.025624999999998	5121.35625	71.01249999999999	1299.605	4257.15625	7561.885	717.35875	74.841875	407.773125	5240.539375	63.3125	3523.309375	6.4375	92.20875	137.47	1150.03125	6742.9243750000005	0	1006.79375	0	8100.5825	8307.2175	0	8639.6975	0	4050.035	22.8125	11672.039375	3018.248125	4971.28125	734.75	2710.348125	6718.030624999999	0	429.6875	2056.438125	3022.81125	5.668750000000001	43.02312500000001	5042.6075	7899.126875	10660.814375	3341.75	3557.1274999999996	5543.98125	692.08375	3441.483125	3870.25	312.88250000000005	658.12625	0	10346.549375	4184.059375	122.006875	8133.217500000001	0	2386.8656250000004	5194.407499999999	44.5	30	6198.321250000001	3944.22875	1315.3175	4688.073125	2126.28125	1244.98	6884.874375	8.223749999999999	10924.95875	Metabolism	Carbohydrate Metabolism	Inositol Phosphate Metabolism
K03008	178.0141463414634	1859.699268292683	1131.5365853658536	1494.1665853658535	536.4836585365854	2057.319512195122	1093.9148780487803	1639.5692682926829	448.9839024390244	798.3414634146342	1377.5448780487804	52.4390243902439	1061.9409756097562	1483.8285365853658	794.1634146341463	317.1431707317073	882.9756097560976	2558.2526829268295	610.5521951219512	954.4124390243904	91.65463414634146	1021.918536585366	736.7317073170732	587.7280487804878	1270.8170731707316	1429.6260975609755	924.9187804878048	846	1884.0302439024392	58.74414634146342	921.6597560975608	19	1533.678780487805	2949.76	548.9756097560976	2330.1482926829267	1069.8536585365853	1447.0017073170732	19.82926829268293	3387.26	1082.989024390244	827.2926829268292	1003.3658536585366	806.1970731707318	851.400731707317	812.4024390243902	856.0731707317074	1442.5448780487804	796.2721951219512	1351.422926829268	247.88634146341465	773.4409756097562	1451.2536585365854	2222.768536585366	1293.1951219512196	1235.3626829268294	1419.551219512195	1019.0651219512196	1085.2641463414634	1314.4512195121952	1355.6639024390245	1352.357804878049	1808.150487804878	1196.7626829268293	1678.1936585365854	38.973414634146344	2717.843414634147	19.17073170731707	668.7039024390244	960.0936585365852	481	44.90243902439025	1411.8512195121953	998.3456097560976	1715.337804878049	1389.4346341463415	976.2560975609756	507.520487804878	1332.0934146341465	118.27463414634148	4876.290731707318	Genetic Information Processing	Transcription	Rna Polymerase
