KO,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,reject,df,name,method
KO_2,11.84894577812223,-0.9624621031791175,0.7675104086285309,-1.2540052777902349,0.21028607924002615,0.6230698644148923,No,657,studyServergnini_2021,LinDA
KO_43,5466.439173369654,-0.5806382846851911,0.4859950557506879,-1.1947411353564357,0.2326193029136733,0.6581906628950884,No,657,studyServergnini_2021,LinDA
KO_78,18682.903292159695,0.2625638761675564,0.22259092194725527,1.1795803434866632,0.23859411529946953,0.6581906628950884,No,657,studyServergnini_2021,LinDA
KO_31,0.24483186884667874,0.9952052261449156,1.0117349729984997,0.9836619793772725,0.32564383455507506,0.8683835588135335,No,657,studyServergnini_2021,LinDA
KO_29,21339.168975699133,0.2397958970525756,0.25669794630276466,0.9341558844017638,0.3505666822533742,0.8684711012906565,No,657,studyServergnini_2021,LinDA
KO_46,447.25059421528874,-0.6188672296384156,0.6561046419679336,-0.9432447052686178,0.3459024705773027,0.8684711012906565,No,657,studyServergnini_2021,LinDA
KO_65,9603.157672606525,0.2082669582226419,0.22653453716727456,0.9193607333651568,0.3582443292823958,0.8684711012906565,No,657,studyServergnini_2021,LinDA
KO_64,2.2538298208281704,-0.8184125299290109,0.9140299034426355,-0.8953892283463727,0.37090697853355525,0.8727223024318947,No,657,studyServergnini_2021,LinDA
KO_10,157.21387211153097,0.4513449975957541,0.527777047753416,0.8551811783346593,0.392762599416427,0.8728057764809489,No,657,studyServergnini_2021,LinDA
KO_21,21053.88302460556,0.2801216843388758,0.32496566362416907,0.862003945939481,0.3889998566373747,0.8728057764809489,No,657,studyServergnini_2021,LinDA
KO_20,0.24483186884667874,0.5358007125369224,0.6655316905574529,0.8050716744804938,0.42106956743017887,0.8864622472214292,No,657,studyServergnini_2021,LinDA
KO_50,25840.546672815213,-0.16089766051738386,0.1997121511680367,-0.8056478265161015,0.42073742491331145,0.8864622472214292,No,657,studyServergnini_2021,LinDA
KO_23,222.6763367845042,-0.4276823897539578,0.5584247471374455,-0.7658729165322825,0.44402698001634466,0.8880539600326893,No,657,studyServergnini_2021,LinDA
KO_42,4782.526832683754,-0.16188023957100361,0.20685187921184947,-0.7825901325518648,0.43414981023114474,0.8880539600326893,No,657,studyServergnini_2021,LinDA
KO_1,25793.31545883521,-0.05105145160837088,0.20157482336572188,-0.25326303531342825,0.8001441852454791,0.990490200109476,No,657,studyServergnini_2021,LinDA
KO_3,0.24483186884667815,-0.011409756453534925,0.21853571207668845,-0.05221003169281101,0.9583772096689908,0.990490200109476,No,657,studyServergnini_2021,LinDA
KO_5,28519.205038517182,0.017578902809222585,0.21953408071136843,0.08007368492518653,0.936203035904934,0.990490200109476,No,657,studyServergnini_2021,LinDA
KO_6,16194.754398621988,0.04421455012173231,0.22354371213183538,0.19778928112125418,0.8432711120634848,0.990490200109476,No,657,studyServergnini_2021,LinDA
KO_7,37303.361834506184,-0.061729277499867785,0.24191104267064834,-0.255173458881369,0.7986689876880513,0.990490200109476,No,657,studyServergnini_2021,LinDA
KO_9,6.82516347331591,-0.135954108305553,0.8314755674311775,-0.16350944469189846,0.8701676210167312,0.990490200109476,No,657,studyServergnini_2021,LinDA
KO_12,0.24483186884667757,-0.011409756453534703,0.1948148778119521,-0.05856717198235823,0.9533146672817524,0.990490200109476,No,657,studyServergnini_2021,LinDA
KO_13,0.24483186884667513,-0.011409756453522046,0.3713798775438331,-0.030722602767230916,0.9755000955464881,0.990490200109476,No,657,studyServergnini_2021,LinDA
KO_16,39426.16254297819,0.031312996421587636,0.2168116328227921,0.1444248909244684,0.885209253072568,0.990490200109476,No,657,studyServergnini_2021,LinDA
KO_17,32882.66179265635,0.021849939391731188,0.21829762616549261,0.10009242782679932,0.9203014810525824,0.990490200109476,No,657,studyServergnini_2021,LinDA
KO_18,54320.230503775376,-0.003497496744249262,0.2164514518753252,-0.01615834273204044,0.9871129743289765,0.990490200109476,No,657,studyServergnini_2021,LinDA
KO_19,10728.911707476598,0.020843319528525972,0.2272067139114923,0.09173725181662293,0.9269347628569562,0.990490200109476,No,657,studyServergnini_2021,LinDA
KO_24,0.24483186884667937,-0.011409756453535036,0.4252385409623593,-0.02683142602200065,0.9786023355350746,0.990490200109476,No,657,studyServergnini_2021,LinDA
KO_25,94264.5133199502,-0.08989742223234709,0.2046803197904867,-0.43920892015591534,0.6606545749877208,0.990490200109476,No,657,studyServergnini_2021,LinDA
KO_26,34871.33141193416,0.06591908595843965,0.20590418447370107,0.32014446975388744,0.7489606028183122,0.990490200109476,No,657,studyServergnini_2021,LinDA
KO_27,0.24483186884668118,-0.011409756453541475,0.762510487919577,-0.01496340920460215,0.9880659150059361,0.990490200109476,No,657,studyServergnini_2021,LinDA
KO_30,5770.8765199356,0.10766467268975366,0.37733324429661214,0.28533047198227035,0.77548089599718,0.990490200109476,No,657,studyServergnini_2021,LinDA
KO_34,30519.020361424053,0.04425775811551719,0.21554117855840502,0.20533319160414953,0.8373754149861519,0.990490200109476,No,657,studyServergnini_2021,LinDA
KO_35,24494.926431721717,-0.024510665282421296,0.21859694069613783,-0.11212721094982071,0.9107567904913112,0.990490200109476,No,657,studyServergnini_2021,LinDA
KO_36,23723.475672066,0.07625754963328002,0.21323170048347617,0.3576276391379686,0.7207368468032006,0.990490200109476,No,657,studyServergnini_2021,LinDA
KO_39,0.24483186884667635,-0.011409756453516828,0.39228327798659424,-0.029085502986713446,0.9768052305176795,0.990490200109476,No,657,studyServergnini_2021,LinDA
KO_41,17790.970352435645,0.12655446749073512,0.27420919836775065,0.4615252451196364,0.6445745773413936,0.990490200109476,No,657,studyServergnini_2021,LinDA
KO_47,10926.134937123561,-0.009007501768703352,0.21219183893441512,-0.04244980303642789,0.9661530243001736,0.990490200109476,No,657,studyServergnini_2021,LinDA
KO_49,2895.1418654153817,0.2437859535471183,0.6795605789000332,0.3587405760671418,0.7199044190175722,0.990490200109476,No,657,studyServergnini_2021,LinDA
KO_52,46245.015101670964,-0.019833530654840947,0.2049336862891961,-0.09678023664129323,0.9229304334593795,0.990490200109476,No,657,studyServergnini_2021,LinDA
KO_55,0.24483186884667996,-0.011409756453540365,0.9569064776179643,-0.011923585763514499,0.990490200109476,0.990490200109476,No,657,studyServergnini_2021,LinDA
KO_57,16762.883353965182,0.06480985045602061,0.21500142118777038,0.3014391723458389,0.7631750091820615,0.990490200109476,No,657,studyServergnini_2021,LinDA
KO_58,0.24483186884667757,-0.011409756453534703,0.1948148778119521,-0.05856717198235823,0.9533146672817524,0.990490200109476,No,657,studyServergnini_2021,LinDA
KO_60,33300.91349466981,0.004850663439216696,0.22175769348168492,0.021873709827421678,0.9825553376526761,0.990490200109476,No,657,studyServergnini_2021,LinDA
KO_61,15129.142939834253,-0.036189478247849904,0.23225322763307654,-0.1558190541275214,0.8762235137693198,0.990490200109476,No,657,studyServergnini_2021,LinDA
KO_62,26097.18364870049,-0.033890197207894435,0.2165830785498259,-0.15647666214190342,0.8757053829602908,0.990490200109476,No,657,studyServergnini_2021,LinDA
KO_63,39916.03794223168,-0.09726973537728367,0.1974269660287816,-0.49268718115793436,0.6223982458512591,0.990490200109476,No,657,studyServergnini_2021,LinDA
KO_66,18457.980731719803,-0.023534165133952456,0.21321036690212095,-0.11038002267852363,0.9121417040885554,0.990490200109476,No,657,studyServergnini_2021,LinDA
KO_67,6156.046295093778,0.08916264637791,0.2113916629530802,0.42178884981712944,0.673317117611845,0.990490200109476,No,657,studyServergnini_2021,LinDA
KO_69,23564.86775111981,0.0686755414201678,0.22522162221400455,0.3049242818920495,0.7605203909999674,0.990490200109476,No,657,studyServergnini_2021,LinDA
KO_70,0.24483186884667996,-0.011409756453537034,0.7702169002720275,-0.01481369267476123,0.9881853128125855,0.990490200109476,No,657,studyServergnini_2021,LinDA
KO_73,1.484006837473876,-0.008739600587816199,0.6714494492844135,-0.013016021678371004,0.9896189618556956,0.990490200109476,No,657,studyServergnini_2021,LinDA
KO_76,0.2448318688466691,-0.011409756453492959,0.6641354490530073,-0.017179863640409746,0.9862983420435651,0.990490200109476,No,657,studyServergnini_2021,LinDA
KO_79,28238.521053382858,-0.03103821920672889,0.2018993680498108,-0.1537311359938057,0.8778689404592283,0.990490200109476,No,657,studyServergnini_2021,LinDA
KO_80,65745.7892667965,-0.03292382362930679,0.1912993257449874,-0.1721063234336543,0.8634069411129277,0.990490200109476,No,657,studyServergnini_2021,LinDA
