KO,LinDA,ancombc,aldex2,score,variable_linda,variable_ancombc,variable_aldex2,pathway_3,pathway_1,pathway_2,pathway_3_clean
KO_53,TRUE,FALSE,FALSE,1,study,NA,NA,Metabolism_Lipid Metabolism_Steroid Biosynthesis,Metabolism,Lipid Metabolism,Steroid Biosynthesis
KO_30,TRUE,TRUE,TRUE,3,study,study,health_status,"Metabolism_Amino Acid Metabolism_Valine, Leucine And Isoleucine Degradation",Metabolism,Amino Acid Metabolism,"Valine, Leucine And Isoleucine Degradation"
KO_23,TRUE,TRUE,FALSE,2,study,study,NA,"Metabolism_Amino Acid Metabolism_Glycine, Serine And Threonine Metabolism",Metabolism,Amino Acid Metabolism,"Glycine, Serine And Threonine Metabolism"
KO_70,TRUE,TRUE,TRUE,3,study,health_status and study,study,Organismal Systems_Development And Regeneration_Axon Guidance,Organismal Systems,Development And Regeneration,Axon Guidance
KO_54,TRUE,FALSE,FALSE,1,study,NA,NA,Metabolism_Lipid Metabolism_Steroid Hormone Biosynthesis,Metabolism,Lipid Metabolism,Steroid Hormone Biosynthesis
KO_32,TRUE,TRUE,TRUE,3,study,study,health_status and study,Metabolism_Carbohydrate Metabolism_Amino Sugar And Nucleotide Sugar Metabolism,Metabolism,Carbohydrate Metabolism,Amino Sugar And Nucleotide Sugar Metabolism
KO_27,TRUE,FALSE,TRUE,2,study,NA,study,Metabolism_Amino Acid Metabolism_Tryptophan Metabolism,Metabolism,Amino Acid Metabolism,Tryptophan Metabolism
KO_75,TRUE,FALSE,FALSE,1,study,NA,NA,Unclassified_Cellular Processes And Signaling_Signal Transduction Mechanisms,Unclassified,Cellular Processes And Signaling,Signal Transduction Mechanisms
KO_55,TRUE,TRUE,TRUE,3,study,health_status,study,Metabolism_Metabolism Of Cofactors And Vitamins_Folate Biosynthesis,Metabolism,Metabolism Of Cofactors And Vitamins,Folate Biosynthesis
KO_31,TRUE,TRUE,TRUE,3,study,health_status,study,Metabolism_Biosynthesis Of Other Secondary Metabolites_Phenylpropanoid Biosynthesis,Metabolism,Biosynthesis Of Other Secondary Metabolites,Phenylpropanoid Biosynthesis
