KO,rab.all,rab.win.0,rab.win.1,diff.btw,diff.win,effect,overlap,name,method
KO_30,3.3446874670219784,3.5488422560692783,2.473540199013517,-1.037409970697595,1.7572736429717999,-0.5301659239416588,0.24520000114727017,studyMovassagh_2021,ALDEx2
KO_31,-8.82531835890055,-8.525845440999344,-10.644167982166127,-2.112697103190361,8.311711718538922,-0.232698109085729,0.3450000005715973,studyMovassagh_2021,ALDEx2
KO_32,5.901704802741499,6.122147082718011,4.688615760390574,-1.3228957816562805,1.4060943181071925,-0.8867948151577987,0.16476704861983002,studyMovassagh_2021,ALDEx2
KO_33,-7.301142963071267,-7.908042554738329,0.1710082381880964,7.24992374491294,7.465699186877327,0.8116927202403694,0.23440000123335228,studyMovassagh_2021,ALDEx2
KO_34,5.895713073589475,6.126694724972115,4.305460825306804,-1.659466054501566,1.5004460360946754,-1.051700751809414,0.11877624778500523,studyMovassagh_2021,ALDEx2
KO_35,5.486720644745445,5.719645594580708,3.9108936361949866,-1.7179644927723965,1.524860786081787,-1.0717934477035405,0.12260000292369785,studyMovassagh_2021,ALDEx2
KO_36,5.434743050186301,5.665473216950493,4.089033408080955,-1.448810861037129,1.469873702253064,-0.931396694639375,0.14520000238216146,studyMovassagh_2021,ALDEx2
KO_37,2.3560874221946815,2.5556463592375085,1.9154325193714343,-0.5890951118907948,2.169005238895094,-0.10295152299981353,0.3819236156936117,studyMovassagh_2021,ALDEx2
KO_38,-8.153465079412646,-8.114848698156965,-8.5890876458888,0.4581297795189929,6.758582845632287,0.06515404627489105,0.4756000000815277,studyMovassagh_2021,ALDEx2
KO_39,-9.069208336746946,-9.13852416180435,-8.519013688732912,0.9928460593425044,5.485848744528002,0.1593749518499254,0.4235152972015651,studyMovassagh_2021,ALDEx2
KO_40,4.9454513723992655,4.893070697510526,5.2324630278282225,0.2565094436167854,1.8752552049755344,0.13107694436253756,0.4447110579749457,studyMovassagh_2021,ALDEx2
KO_41,5.289298543970205,5.62956859352561,3.548223492335195,-1.8718643246051418,1.880693368394692,-0.9329424470793197,0.1629674085768311,studyMovassagh_2021,ALDEx2
KO_42,3.1830109052307325,3.3974628976931203,1.9791850289095492,-1.3854690143041801,1.3676680860003079,-0.9550960073563111,0.1437712481613775,studyMovassagh_2021,ALDEx2
KO_43,2.5512932006197397,2.5858392989181738,2.466226094593875,-0.14441140653818874,2.55866787987738,-0.04421095062336092,0.4731053790140881,studyMovassagh_2021,ALDEx2
KO_44,3.0972047530239455,3.302859756590082,1.6655254648494697,-1.4505005636473003,1.6019557315873816,-0.8089971718810477,0.15880000212852133,studyMovassagh_2021,ALDEx2
KO_45,3.544192434797272,3.695206176467681,2.790940043081223,-0.8699937889269913,1.146059772199906,-0.6908046137265784,0.23555289064545765,studyMovassagh_2021,ALDEx2
KO_46,1.419722079088766,1.3806562446734647,1.5862275233169179,0.36124220334090484,2.8528619381243683,0.0879030438191351,0.42651469731084696,studyMovassagh_2021,ALDEx2
KO_47,4.399738503524445,4.620034163912855,2.9383931263799523,-1.5707034708182976,1.4246314008896745,-1.0481551156943558,0.12997400792472577,studyMovassagh_2021,ALDEx2
